project_name,pull_total_mean,pull_opened_mean,pull_closed_mean,pull_merged_mean,commits_mean,stars_mean,forks_mean,languages_count,has_readme,has_contributing,has_wiki,has_project_board,has_issue_tracker,newcomers_mean,language,age,domain,owner,type
alda,4,0,1,4,18,80,7,2,1,1,0,1,1,1.0,Clojure,3,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
re-frame,7,1,2,5,42,82,8,5,1,1,1,1,1,1.5,Clojure,3,Documentação,Organization,Nonreceptive
datascript,2,1,1,1,11,63,4,4,1,0,1,1,1,1.0,Clojure,3,Framework ou Biblioteca (Não-web),User,Nonreceptive
jepsen,2,0,1,2,24,47,5,6,1,0,0,1,1,1333,Clojure,4,Sem categoria,Organization,Nonreceptive
modern-cljs,6,1,3,6,43,42,4,2,1,0,0,1,1,1.0,Clojure,5,Sem categoria,User,Nonreceptive
ring,2,1,1,2,10,37,4,5,1,0,1,1,1,1.0,Clojure,5,Sem categoria,Organization,Nonreceptive
lein-figwheel,3,1,1,3,33,54,4,5,1,0,1,1,1,1.5,Clojure,3,Sem categoria,User,Nonreceptive
quil,2,1,1,2,15,30,2,4,1,0,1,1,1,0.0,Clojure,5,Sem categoria,Organization,Nonreceptive
incanter,2,1,1,2,17,18,3,5,0,0,1,1,1,0.0,Clojure,8,Sem categoria,Organization,Nonreceptive
aleph,2,1,1,1,13,22,2,1,1,0,0,1,1,0.0,Clojure,7,Sem categoria,User,Nonreceptive
clojure-cookbook,14,1,3,12,59,35,6,2,1,1,0,1,1,0.0,Clojure,4,Sem categoria,Organization,Nonreceptive
instaparse,1,1,1,1,19,33,2,1,1,0,1,1,1,0.0,Clojure,4,Sem categoria,User,Nonreceptive
pedestal,4,1,1,4,27,32,3,6,1,1,1,1,1,1.5,Clojure,4,Sem categoria,Organization,Nonreceptive
schema,4,1,1,4,19,36,4,2,1,1,1,1,1,0.0,Clojure,4,Sem categoria,Organization,Nonreceptive
hiccup,1,1,1,1,6,17,1,1,1,0,1,1,1,0.0,Clojure,8,Sem categoria,User,Nonreceptive
onyx,6,0,2,5,143,41,4,2,1,0,1,1,1,0.0,Clojure,4,Sem categoria,Organization,Nonreceptive
transit-format,2,0,1,0,5,38,2,2,1,0,1,1,1,0.0,Clojure,3,Sem categoria,Organization,Nonreceptive
specter,1,0,1,1,27,46,2,3,1,0,1,1,1,1.0,Clojure,2,Sem categoria,User,Nonreceptive
incubator-predictionio,7,1,5,6,80,182,30,5,1,1,0,1,0,1.0,Scala,4,Sistema,Organization,Nonreceptive
shadowsocks-android,3,1,1,3,34,159,77,9,1,1,1,1,1,0.0,Scala,5,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
scala,85,4,21,63,156,127,29,10,1,1,0,1,0,1.0,Scala,6,Sistema,Organization,Nonreceptive
gitbucket,10,1,2,8,72,121,16,6,1,0,1,0,1,1.0,Scala,4,Aplicação,Organization,Nonreceptive
ArnoldC,2,1,2,1,5,115,6,1,1,0,1,1,1,0.0,Scala,4,Sistema,User,Nonreceptive
aerosolve,10,1,1,9,40,146,18,4,1,0,0,1,1,1.0,Scala,2,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
kafka-manager,4,1,1,4,16,129,33,5,1,0,1,1,1,1.0,Scala,2,Ferramenta,Organization,Nonreceptive
chronos,8,2,2,8,25,68,9,5,1,0,0,1,1,0.0,Scala,4,Aplicação,Organization,Nonreceptive
snowflake,1,1,2,0,11,42,8,0,1,0,0,1,1,0.0,Scala,7,Framework ou Biblioteca (Web),Organization,Nonreceptive
snowplow,4,1,3,1,85,55,13,12,1,1,1,1,1,1.0,Scala,5,Framework ou Biblioteca (Web),Organization,Nonreceptive
marathon,46,2,7,39,111,68,15,10,1,0,0,1,1,1.4,Scala,4,Ferramenta,Organization,Nonreceptive
bfg-repo-cleaner,1,1,1,1,11,60,3,2,1,1,1,1,1,0.0,Scala,5,Ferramenta,User,Nonreceptive
fpinscala,3,2,2,4,11,54,29,3,1,0,1,1,1,0.0,Scala,5,Documentação,Organization,Nonreceptive
scalaz,14,2,3,12,56,35,6,2,1,1,1,0,1,0.0,Scala,7,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
sbt,17,2,5,14,56,33,6,4,1,1,1,1,1,1.0,Scala,8,Ferramenta,Organization,Nonreceptive
flockdb,2,0,2,2,28,35,3,4,0,0,0,1,0,0.0,Scala,7,Sistema,Organization,Nonreceptive
scala-js,31,1,3,28,75,55,4,6,1,1,1,1,1,1.0,Scala,4,Ferramenta,Organization,Nonreceptive
diffy,2,1,1,2,5,115,10,7,1,0,0,1,1,0.0,Scala,2,Framework ou Biblioteca (Web),Organization,Nonreceptive
scalding,17,1,3,14,58,43,9,5,1,1,1,1,1,0.0,Scala,5,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
kestrel,1,0,3,1,18,24,3,4,1,0,1,1,1,0.0,Scala,9,Ferramenta,Organization,Nonreceptive
linkerd,44,2,6,38,50,132,11,8,1,1,1,1,1,1.25,Scala,1,Sem categoria,Organization,Nonreceptive
spray,8,1,2,9,46,33,8,5,0,1,1,1,1,0.0,Scala,6,Framework ou Biblioteca (Web),Organization,Nonreceptive
scalatra,4,1,1,4,31,22,3,4,0,0,0,1,1,1.0,Scala,8,Sem categoria,Organization,Nonreceptive
awesome-python,20,10,6,9,29,970,176,2,1,1,0,1,1,1.5,Python,3,Documentação,User,Nonreceptive
thefuck,11,1,3,10,46,1032,50,2,1,1,1,1,1,1.0,Python,2,Ferramenta,User,Nonreceptive
flask,13,1,5,9,34,331,104,4,1,0,0,1,1,1231,Python,7,Framework ou Biblioteca (Web),Organization,Nonreceptive
big-list-of-naughty-strings,7,3,3,8,17,841,32,3,1,0,1,1,1,0.0,Python,2,Documentação,User,Nonreceptive
shadowsocks,2,1,1,1,1,304,139,2,1,0,1,1,1,0.0,Python,5,Ferramenta,Organization,Nonreceptive
system-design-primer,11,1,3,7,24,2803,303,1,1,1,1,1,1,1.0,Python,0,Sem categoria,User,Nonreceptive
XX-Net,11,1,3,9,42,509,160,8,1,0,1,1,1,1.0,Python,2,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
YouCompleteMe,10,1,3,7,34,222,29,4,1,1,1,1,1,0.0,Python,5,Ferramenta,User,Nonreceptive
you-get,9,2,3,7,28,242,49,3,1,0,1,1,1,1.5,Python,5,Aplicação,User,Nonreceptive
reddit,10,3,10,1,83,125,27,11,1,1,1,1,1,0.0,Python,9,Aplicação,Organization,Nonreceptive
Deep-Learning-Papers-Reading-Roadmap,4,2,2,2,13,1138,205,1,1,0,1,1,1,1.0,Python,1,Documentação,User,Nonreceptive
python-patterns,3,0,1,3,9,200,45,2,1,0,1,1,1,1.25,Python,5,Documentação,User,Nonreceptive
macOS-Security-and-Privacy-Guide,4,0,1,3,17,457,27,1,1,0,0,0,1,1333,Python,2,Documentação,User,Nonreceptive
d3,13,1,8,6,50,655,212,1,1,0,1,0,1,0.0,JavaScript,7,Framework ou Biblioteca (Web),Organization,Nonreceptive
angular.js,89,3,79,7,91,571,316,5,1,1,1,1,1,1444,JavaScript,7,Framework ou Biblioteca (Web),Organization,Nonreceptive
jquery,26,1,23,4,46,444,138,4,1,1,1,1,1,1167,JavaScript,8,Framework ou Biblioteca (Web),Organization,Nonreceptive
html5-boilerplate,10,1,8,5,19,412,103,3,1,0,1,1,1,1167,JavaScript,7,Framework ou Biblioteca (Web),Organization,Nonreceptive
Semantic-UI,14,4,5,6,120,744,80,3,1,1,1,1,1,1.0,JavaScript,4,Framework ou Biblioteca (Web),Organization,Nonreceptive
reveal.js,8,2,5,4,29,481,147,3,1,1,1,1,1,0.0,JavaScript,6,Framework ou Biblioteca (Web),User,Nonreceptive
socket.io,8,1,5,5,24,394,74,2,0,0,0,1,1,1.25,JavaScript,7,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
express,9,1,6,3,59,340,64,3,0,0,1,1,1,1.5,JavaScript,8,Framework ou Biblioteca (Web),Organization,Nonreceptive
impress.js,4,1,4,2,7,461,93,3,1,0,1,1,1,0.0,JavaScript,6,Framework ou Biblioteca (Web),Organization,Nonreceptive
resume.github.com,4,1,8,4,9,445,11,4,0,0,1,1,1,0.0,JavaScript,6,Aplicação,Organization,Nonreceptive
hacker-scripts,9,1,4,10,16,1279,226,14,1,0,0,0,1,0.0,JavaScript,2,Aplicação,User,Nonreceptive
brackets,73,2,14,59,250,401,83,8,1,1,1,1,1,1444,JavaScript,6,Aplicação,Organization,Nonreceptive
jQuery-File-Upload,4,1,3,1,14,335,88,7,1,1,1,1,0,1.0,JavaScript,7,Framework ou Biblioteca (Web),User,Nonreceptive
gulp,10,1,3,7,21,538,78,2,1,1,0,1,1,1.5,JavaScript,4,Ferramenta,Organization,Nonreceptive
diff-so-fancy,7,1,3,6,23,431,8,2,0,0,1,1,1,1333,Perl,1,Ferramenta,Organization,Nonreceptive
gitolite,2,1,2,1,10,68,8,3,0,1,1,1,0,1.0,Perl,8,Ferramenta,User,Nonreceptive
FlameGraph,2,1,1,2,5,71,8,5,1,0,1,1,1,1.25,Perl,6,Framework ou Biblioteca (Web),User,Nonreceptive
Expose,2,1,1,3,12,154,8,5,0,0,1,1,1,0.0,Perl,2,Documentação,User,Nonreceptive
MySQLTuner-perl,2,0,2,3,12,38,8,4,1,1,1,1,1,1333,Perl,8,Ferramenta,User,Nonreceptive
cloc,2,1,1,2,16,136,10,62,1,0,1,1,1,1.0,Perl,2,Ferramenta,User,Nonreceptive
EQGRP,8,1,3,12,33,545,333,11,1,0,1,1,1,0.0,Perl,0,Sem categoria,User,Nonreceptive
sicp-pdf,1,2,0,1,4,35,4,4,1,0,1,1,1,1.0,Perl,6,Documentação,User,Nonreceptive
ua-parser,6,1,2,6,25,22,7,15,0,1,0,1,1,0.0,Perl,7,Sem categoria,User,Nonreceptive
mojo,5,1,4,2,102,17,4,4,1,0,1,1,1,0.0,Perl,9,Sem categoria,User,Nonreceptive
nginx-tutorials,1,0,1,1,14,26,5,3,0,0,1,1,1,0.0,Perl,6,Sem categoria,Organization,Nonreceptive
nikto,5,1,1,4,17,30,5,3,1,0,1,1,1,1.0,Perl,5,Sem categoria,User,Nonreceptive
rcm,3,1,2,2,6,32,2,6,1,1,1,1,1,0.0,Perl,4,Sem categoria,Organization,Nonreceptive
duckduckgo,2,1,1,2,11,17,3,2,1,1,1,1,1,0.0,Perl,6,Sem categoria,Organization,Nonreceptive
ack2,2,1,2,2,33,19,2,16,1,1,1,1,1,0.0,Perl,6,Sem categoria,Organization,Nonreceptive
sqitch,1,1,1,1,42,21,2,4,1,0,1,1,1,1.0,Perl,5,Sem categoria,User,Nonreceptive
pgbadger,1,1,1,1,13,17,2,3,1,1,1,1,1,1.0,Perl,5,Sem categoria,Organization,Nonreceptive
ABTestingGateway,1,0,1,1,8,42,15,8,1,0,1,1,1,0.0,Perl,2,Sem categoria,Organization,Nonreceptive
dotfiles,1,1,1,2,13,38,6,4,1,0,0,1,0,1.0,Perl,2,Ferramenta,User,Nonreceptive
munin,9,1,2,8,44,16,5,11,0,1,1,1,1,1.0,Perl,5,Sem categoria,Organization,Nonreceptive
owasp-modsecurity-crs,7,1,2,6,18,17,6,5,1,0,1,1,1,0.0,Perl,5,Sem categoria,Organization,Nonreceptive
lua-resty-auto-ssl,1,1,1,1,10,48,2,4,1,0,1,1,1,0.0,Perl,1,Sem categoria,User,Nonreceptive
rsnapshot,2,1,1,2,13,17,2,4,1,1,1,1,1,1.0,Perl,5,Sem categoria,Organization,Nonreceptive
git-cal,3,1,2,3,8,19,2,1,1,0,1,1,1,0.0,Perl,4,Sem categoria,User,Nonreceptive
contrib,11,1,2,10,52,13,8,10,1,0,0,1,1,1.4,Perl,6,Sem categoria,Organization,Nonreceptive
Linux_Exploit_Suggester,1,1,0,1,8,19,5,1,1,0,1,1,1,0.0,Perl,4,Sem categoria,User,Nonreceptive
MultiMarkdown,1,1,1,0,8,9,5,2,0,0,1,1,1,0.0,Perl,8,Sem categoria,User,Nonreceptive
rainbarf,1,0,1,1,9,16,3,1,1,0,1,1,1,0.0,Perl,4,Sem categoria,User,Nonreceptive
AirChat,2,0,1,1,3,22,3,1,1,0,1,1,1,0.0,Perl,3,Sem categoria,User,Nonreceptive
prey-bash-client,1,1,2,1,27,8,1,3,1,0,1,1,1,0.0,Perl,8,Sem categoria,Organization,Nonreceptive
atom,52,4,11,39,445,869,178,6,1,1,0,1,1,1429,CoffeeScript,5,Aplicação,Organization,Nonreceptive
coffeescript,10,1,4,7,47,151,17,2,1,1,1,1,1,1.0,CoffeeScript,8,Sistema,User,Nonreceptive
trix,3,1,2,2,53,331,14,5,1,0,1,1,1,0.0,CoffeeScript,4,Framework ou Biblioteca (Web),Organization,Nonreceptive
zxcvbn,1,1,1,2,10,118,7,4,1,0,0,1,1,0.0,CoffeeScript,5,Framework ou Biblioteca (Web),Organization,Nonreceptive
vimium,9,2,4,6,41,77,10,5,1,1,1,1,1,1.0,CoffeeScript,8,Aplicação,User,Nonreceptive
SwitchyOmega,1,0,1,1,14,133,27,4,1,0,1,1,1,1.0,CoffeeScript,5,Ferramenta,User,Nonreceptive
